"ID","mono6_n2_ctr","mono6_n3_ctr","mono6_n5_ctr","mono6_n6_ctr","mono6_n2_atra","mono6_n3_atra","mono6_n5_atra","mono6_n6_atra","mono6_n2_vitd","mono6_n3_vitd","mono6_n5_vitd","mono6_n6_vitd","mono6_n2_asp","mono6_n3_asp","mono6_n5_asp","mono6_n6_asp","mono6_n2_asp_atra","mono6_n3_asp_atra","mono6_n5_asp_atra","mono6_n6_asp_atra","mono6_n2_asp_vitd","/mnt/dessertlocal/mono_pmn_hg_fungi_vit_a_d_deseq/new_mono6_asp_vitd_n3//htseq/segemehl/mono6_n3_asp_vitd","mono6_n5_asp_vitd","mono6_n6_asp_vitd","mono6_n2_can","mono6_n3_can","mono6_n5_can","mono6_n6_can","mono6_n2_can_atra","mono6_n3_can_atra","mono6_n5_can_atra","mono6_n6_can_atra","mono6_n2_can_vitd","mono6_n3_can_vitd","mono6_n5_can_vitd","mono6_n6_can_vitd","mono6_n2_eco","mono6_n3_eco","mono6_n5_eco","mono6_n6_eco","mono6_n2_eco_atra","mono6_n3_eco_atra","mono6_n5_eco_atra","mono6_n6_eco_atra","mono6_n2_eco_vitd","mono6_n3_eco_vitd","mono6_n5_eco_vitd","mono6_n6_eco_vitd"
"ENSG00000000003",0,0,0,1.05151232800695,0.598561488228976,1.54699959632275,0,0.513124079519986,0.541669696244242,0,0,0,0,0,0,0,0,0,0,0,0,1.06005420834386,0,0,0,0,0,1.38785569869809,0,0,0,0,0,0,0,0,0,0,0,0,1.27910126338392,0,0,0,0,1.24039311488603,0,1.55371300260547
"ENSG00000000005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70444533426885,0,0,1.11029032995505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000000419",494.394175457725,400.763362769585,283.280340533979,486.850207867216,545.888077264826,419.236890603465,370.544216759045,478.231642112627,601.795032527352,605.655809280184,433.125287016273,502.708070033589,874.709084747591,680.490129439401,771.224710239966,615.615730181956,786.348875017206,609.173480468317,637.940059306944,791.586353375248,805.517165293031,846.983312466747,604.301634792534,690.356427583473,665.64157591906,756.62196276341,771.651779318761,624.535064414139,737.685455540113,772.971644953088,631.059046149201,557.89504740701,690.927757966739,709.256456840276,594.977351293741,669.035941879879,1022.90093191026,892.766351337761,894.272979661631,1199.42241019895,990.024377859151,794.713305067697,668.858517793872,994.755689057984,911.730076402736,857.111642386243,780.396534393619,834.343882399139
"ENSG00000000457",175.452128291737,88.5328845241411,120.260521924802,144.582945100955,172.984270098174,119.892468715013,148.342870560631,146.753486742716,134.334084668572,94.0377640901914,128.531020223194,69.9645252108603,81.202634903278,72.6654032692828,82.5109406151929,75.690458628929,122.220343238694,87.6637314036639,99.9270467472853,92.848741791446,86.699499199837,66.7834151256634,50.6833629180835,82.4201041094555,219.409695403165,99.3543991507508,124.352516954966,124.907012882828,279.449072770796,131.668516675376,205.353766388588,212.310059707668,250.572513082358,137.217957730405,124.71640632888,145.142094829313,232.638927222645,100.029843287144,119.154504158212,106.615325351018,185.469683190668,139.317119028636,113.826826070343,125.1187105789,271.685562072479,101.712235420654,136.977813605321,135.173031226676
"ENSG00000000460",68.0047008882703,32.4395302073189,48.104208769921,73.0801067964827,76.01730900508,83.5379782014285,53.8290585156721,80.5604804846378,53.6252999281799,58.5270000281611,34.4366129654595,40.5966998137091,27.0675449677593,23.936838723999,16.8389674724883,34.4812089309565,47.8534677230865,24.1522525295809,30.412579444826,32.5309460291198,43.3497495999185,27.5614094169405,25.7315534814885,19.7244693595278,25.2024650125257,10.699704523927,32.1984195686965,27.7571139739617,45.0724310920639,20.1375378444692,35.763858191271,52.6900878106621,66.7204916491487,26.7307709864426,18.3069954244228,20.7345849756161,14.2069573876425,20.0059686574288,9.82717560067726,47.5961273888473,42.2103416916692,25.4405173878379,29.2121943012384,66.8951521906988,53.3370428608547,35.9714003316947,28.9035753479118,32.6279730547149
"ENSG00000000938",5214.60046411257,6869.07052139977,4157.45078387446,6181.31522018883,25047.4040364297,21087.1514974754,19419.1458191712,19054.3495688952,6880.8301513906,7298.77722823101,4533.50734349508,8516.66936517386,16640.1294208375,23897.5139175239,23430.5812895939,23326.1173392442,20625.491257133,29209.0185869779,29271.3836066106,22556.1447029409,22024.8255058204,24070.6509088641,18941.5423385551,22306.9659549574,10164.0058897574,12810.603373576,14669.1558393661,12944.5301017571,17922.3010165744,17260.9680154554,22584.2996113652,19639.4553771918,10016.9698129255,13787.7316748071,14821.8011704983,13206.5483238024,5894.11144619816,12424.9569093044,9770.66934097337,9182.24489585642,11914.8282684212,14829.3987306916,17360.1019512946,12057.2317828161,7980.55503805539,10921.6613765715,10907.9580008641,8940.06461699189
"ENSG00000000971",2.72018803553081,0,0,2.62878082001737,3.59136892937386,0,5.00735428052763,4.10499263615989,3.25001817746545,0,0.970045435646748,1.7275191410089,2.1369114448231,0,0.841948373624417,0.841005095876989,1.29333696548883,0,1.44821806880124,5.42182433818663,0,2.12010841668773,1.55948808978718,1.4088906685377,23.7199670706124,4.58558765311157,11.1029032995505,16.654268384377,21.0338011762965,6.19616549060592,2.30734568975942,12.3976677201558,22.2401638830496,7.12820559638468,6.86512328415855,26.2638076357804,12.4310877141871,1.2503730410893,13.5123664509312,15.2307607644311,1.27910126338392,0,0,1.23879911464257,5.00034776820513,0,10.0534175123172,21.7519820364766
"ENSG00000001036",615.442543038846,499.433600483513,570.123955791656,335.958188798219,660.81188300479,677.585823189365,640.315428622471,462.837919727027,765.379280793113,790.44330375112,768.761007750048,517.391982732165,507.160316238017,630.051790699546,394.873787229852,339.766058734303,493.408052333987,557.290863923292,427.224330296365,355.129494151224,753.497465773129,856.523800341842,441.335129409773,544.536243389821,336.527032814313,414.231417997745,277.572582488763,309.491820809673,204.328354284023,218.414833543859,154.592161213881,215.409476637707,321.741037508117,340.371817227369,318.084045499346,391.192503206624,156.276531264067,130.038796273287,171.975573011852,215.13449579759,120.235518758088,88.4360842529602,106.775606756251,137.506701725325,121.675129026325,135.202849522577,169.651420520352,167.801004281391
"ENSG00000001084",1006.4695731464,881.949727511482,921.106516075894,1555.18673312227,428.570025571947,447.856383135436,471.94314093973,569.054604187664,438.210784261591,356.422854104082,504.423626536309,410.285795989613,19085.4684175301,7590.54253679955,33832.8534457236,25933.2331364628,5796.08961083817,2010.89865505547,8554.6241324089,7650.19414118134,6326.69890979175,4573.07385479543,11482.510805103,9925.6347598481,5589.01724101304,3005.08844200578,4414.51435190128,7418.08870954128,1119.29870545292,715.657114164984,926.399294438407,1861.19986648839,1868.17376617616,1010.42314328753,1241.44312721867,2470.1802234284,511.450465955128,456.386159997595,1103.10046117602,1618.26833122081,95.9325947537938,61.7841136561777,130.951215833138,344.386153870635,135.009389741539,107.914200995084,294.062462235277,472.328752792064
"ENSG00000001167",600.481508843427,455.505069994436,472.133900889965,536.271287283542,630.285247105112,533.714860731349,512.627894469017,497.730357134386,575.253217411385,366.286955232424,512.183990021483,506.163108315607,1235.13481510775,752.300645611398,1315.12335960134,1148.81296096797,1027.55621908087,553.712752437428,1011.58032105766,935.942426379467,1056.94571297256,780.199897341084,1186.77043632805,1132.74809750431,982.896135488501,794.835193206006,1313.47346033683,967.335421992567,1096.76248990689,752.834107108619,1180.20732031194,929.825079011684,991.91130918401,780.538512804123,1128.16859303005,887.440236956369,1204.0396386027,911.521946954101,1504.78626385371,1243.21084739669,1116.65540293416,885.572295738546,1217.84630724818,1038.11365807047,1296.75685455453,1013.40117486188,1509.26930403661,1191.6978729984
